私用区码,私字	,形似	,用例	,备注
uF03B5,󰎵	,Ɛ	,四	,
uF5FEB,󵿫	,小𛅶	,快	,用“𛅶”即可表示，不需另取符号作偏旁，这只是字体实际用上的
uF6FEB,󶿫	,x，小𛅵	,美	,笔画应视同“𛅵”
uF6FEA,󶿪	,土，小𛆀	,带	,用“𛆀”即可表示，不需另取符号作偏旁，这只是字体实际用上的
uF0000,󰀀	,⿱𛅶𛅶	,倚	,用“𛅶𛅶”即可表示，不需另取符号作偏旁
uF95E8,󹗨	,V	,门	,
uF5F00,󵼀	,Λ	,开	,
uFB29D,󻊝	,ㆬ	,愁	,
uF5B9A,󵮚	,小𛇆	,定	,用“𛇆”即可表示，不需另取符号作偏旁，这只是字体实际用上的
uF6B27,󶬧	,区	,欧	,
uF2222,󲈢	,小乚	,挖	,用“乚”即可表示，不需另取符号作偏旁，这只是字体实际用上的
uF9633,󹘳	,半	,阳	,
uF9EC4,󹻄	,小𛇝	,黄	,用“𛇝”即可表示，不需另取符号作偏旁，这只是字体实际用上的
uF900F,󹀏	,⿱𛆀⿰..	,透	,即“偏旁”⑤
uF6000,󶀀	,⿼⿶𛆀..	,怀	,即“偏旁”①
uF7533,󷔳	,小𛈌	,神	,用“𛈌”即可表示，不需另取符号作偏旁，这只是字体实际用上的
uF9519,󹔙	,小𛇾	,错	,用“𛇾”即可表示，不需另取符号作偏旁，这只是字体实际用上的
uF8282,󸊂	,⿱𛆀𛇈	,节	,用“𛆀𛇈”即可表示，不需另取符号作偏旁
uF59BB,󵦻	,𛈾不出头	,妻	,即“偏旁”④
