#	,女字	,汉字	,笔数	,读音	,疑点	,偏旁	,备注			,ss1,ss2,ss3,ss4,,ss9,ss10
u16FE1	,𖿡	,[々]	,5	,	,形似𛆿	,𛆓)	,up!			, , , , ,_, , 
u1B170	,𛅰≈一	,一	,1	,i5	,	,。	,			, , , , ,_, , 
u1B171	,𛅱≈二	,二[入]	,2	,na33	,	,。	,			, , , , ,_, , 
u1B172	,𛅲	,七[傺]	,2	,tsha5	,字形？	,。	,			, , , , ,_, , 
u1B173	,𛅳	,人	,2	,ie21	,字形？	,。	,			, , , , ,_, , 
u1B174	,𛅴	,八	,2	,poe5	,	,。	,			, , , , ,_, , 
u1B175	,𛅵	,十[事实侍拾莳是誓]	,2	,swe33	,	,。	,		, , , , ,_, , 
u1B176	,𛅶	,漂[标蜂飘批披喷片骗]	,2	,phiu44	,	,。	,		, , , , ,_, , 
u1B177	,𛅷	,屋[约雨宇羽舞武]	,2	,u5	,	,。	,		, , , , ,_, , 
u1B178	,𛅸≈水	,水	,3	,cya35	,	,。	,			, , , , ,_, , 
u1B179	,𛅹	,了[礼帝吊调丫]	,3	,tie42	,	,⺈|	,			, , , , ,_, , 
u1B17A	,𛅺	,义[宜仪谊议蚁认忍耳]	,3	,njie33	,	,𛅵|	,		, , , , ,_, , 
u1B17B	,𛅻	,大[代袋待怠台抬]	,3	,toe33	,	,。	,		, , , , ,_, , 
u1B17C	,𛅼	,尺[嘱烛却]	,3	,tchye5	,	,。	,			, , , , ,_, , 
u1B17D	,𛅽	,下[吓]	,3	,fwe13	,变体迥异	,𛅳.?	,			,化, , , ,_, ,〃
u1B17E	,𛅾	,朝[犁低刁雕]	,3	,liu44	,	,。	,			, , , , ,_, , 
u1B17F	,𛅿	,小[细笑洗息夕削送宋宿]	,3	,siu35	,	,.𛅰.	,		, , , , ,_, , 
u1B180	,𛆀≈土	,土	,3	,thu35	,	,。	,			, , , , ,_, , 
u1B181	,𛆁	,女	,3	,njyu13	,	,。	,			, , , , ,_, , 
u1B182	,𛆂	,文	,3	,vai42	,	,。	,			, , , , ,_, , 
u1B183	,𛆃≈工	,工[坑跟竿更根庚]	,3	,kai44	,	,。	,女漢￫工		, , , , ,_, , 
u1B184	,𛆄	,寸[可靠壳扩介戒界狗苟稿确]	,3	,khau21	,	,⺈.	,		, , , , ,_, , 
